,SUV_대형,SUV_중형,SUV_소형,상용차,경차,세단_대형,세단_중형,세단_소형
16-Jan,15775,16300,0,0,13365,8116,17232,0
16-Feb,10270,9909,0,0,11380,9439,14350,0
16-Mar,12665,12548,0,0,15965,6619,20470,0
16-Apr,11534,13424,5215,0,13270,0,20114,0
16-May,11652,13498,5515,0,13171,0,23047,0
16-Jun,9105,14037,0,0,12331,6124,32589,0
16-Jul,11570,0,0,0,11715,5308,26384,0
16-Aug,9981,4651,4135,3830,11267,0,17493,0
16-Sep,11192,9893,4249,0,11234,0,15909,0
16-Oct,9154,5986,5110,0,11404,3937,16907,0
16-Nov,7385,6551,4987,0,13828,10592,17603,0
16-Dec,10016,5615,0,0,14040,18040,18594,0
17-Jan,14755,8040,5870,0,14158,17182,21297,0
17-Feb,10842,4992,4794,3770,6222,15037,11846,0
17-Mar,11915,6217,5323,4779,6438,18621,13729,0
17-Apr,5692,5229,5069,4173,5466,17027,21899,0
17-May,10413,9439,4440,0,6119,12233,18707,0
17-Jun,10964,10395,4993,0,5394,17266,16318,0
17-Jul,10130,9948,4733,0,10675,12275,14052,0
17-Aug,9868,11932,4145,0,10527,8224,13275,0
17-Sep,6471,15305,10711,4048,5665,11532,14033,0
17-Oct,7314,5462,6798,0,4734,10856,12401,0
17-Nov,9129,16386,4135,0,6153,10417,14723,0
17-Dec,7535,9027,4044,0,8285,6992,10350,0
18-Jan,5981,7834,0,12565,10196,16137,14558,0
18-Feb,3442,5885,0,15293,4484,9414,14956,0
18-Mar,17411,7314,4032,0,5421,14346,16538,0
18-Apr,21027,5158,3610,0,5143,9506,15911,7863
18-May,18300,5141,7598,0,5052,10576,11857,4867
18-Jun,16648,6486,4106,0,8625,8500,10976,4125
18-Jul,17770,5919,9402,0,5309,9452,13835,4201
18-Aug,15838,4894,8131,0,4665,8418,17839,0
18-Sep,15107,8362,3899,0,4064,7842,13558,0
18-Oct,15642,9544,5149,0,5111,8914,16710,0
18-Nov,15925,10139,5482,0,5048,9846,16517,0
18-Dec,12113,4603,4093,0,9442,8455,13580,0
19-Jan,21808,9512,5490,0,0,12419,12045,4743
19-Feb,16708,4067,6304,0,3539,7468,10279,0
19-Mar,19795,5630,8184,0,4350,10304,11772,0
19-Apr,20284,4594,8740,0,4262,10231,13308,0
19-May,16523,4456,8258,0,4209,8494,18194,0
19-Jun,13445,4001,3523,0,6870,6736,15440,3632
19-Jul,12314,8171,0,0,4541,14511,14409,3830
19-Aug,11314,4121,5469,0,7584,12062,12016,0
19-Sep,11856,4253,10923,0,4592,11765,12387,0
19-Oct,11317,9096,9626,0,0,15898,15997,0
19-Nov,12334,10674,6368,0,4688,16613,14331,0
19-Dec,15395,11040,4481,0,0,16576,12028,0
20-Jan,14741,4879,4048,0,3814,15348,16912,0
20-Feb,9292,3389,3252,0,3291,11479,10479,0
20-Mar,11136,4581,15109,0,0,20180,14500,0
20-Apr,5988,8516,11574,0,0,23157,18969,0
20-May,5650,8967,10336,0,0,25891,23886,0
20-Jun,6667,17858,11119,0,0,23523,29907,0
20-Jul,12094,10088,4488,0,0,26202,26179,0
20-Aug,13866,6276,0,0,3635,13728,13057,0
20-Sep,20320,9288,4100,0,0,18593,22726,0
20-Oct,21624,11790,0,0,0,15747,15365,0
20-Nov,21018,13807,0,0,0,15757,20339,0
20-Dec,17048,11618,0,0,0,15629,17141,0
21-Jan,19504,15562,4079,0,0,15156,13865,0
21-Feb,9934,11640,3678,0,0,11532,14923,0
21-Mar,14859,17706,0,0,0,14222,20705,0
21-Apr,14495,15390,0,0,0,15918,21549,0
21-May,12210,10446,0,0,0,17656,16661,0
21-Jun,11495,10749,0,0,0,20470,17943,0
21-Jul,15785,6804,0,0,0,18328,16665,0
21-Aug,9439,13508,0,0,0,7148,12593,0
21-Sep,7318,9087,0,0,3027,10808,10385,0
21-Oct,3415,16789,0,0,0,17751,9519,0
21-Nov,4448,12045,4008,0,0,15155,13728,0
21-Dec,4032,14830,3983,0,0,12276,15553,0
22-Jan,10423,14575,8408,0,0,6655,10877,0
22-Feb,6850,8949,6636,0,0,8045,7228,0
22-Mar,4469,14276,7578,0,0,10618,8201,0
22-Apr,9471,10405,4018,0,4459,9469,10053,0
22-May,9525,10572,4316,0,0,15366,9034,0
22-Jun,9923,8710,7994,0,3775,6838,7122,0
22-Jul,9581,7278,8458,0,4185,12420,9905,0
22-Aug,7911,13573,7379,0,0,9399,4164,0
22-Sep,0,14442,7311,0,3707,8664,9559,0
22-Oct,7767,14389,3820,0,0,8574,8704,0
22-Nov,10962,11802,5555,0,4154,8243,10014,0
22-Dec,6053,11990,3516,0,3410,13408,10393,0
23-Jan,13790,17584,4225,0,4333,16270,7807,0
23-Feb,6232,14737,4924,0,4252,17983,6021,0
23-Mar,11786,20285,9709,0,0,16390,6824,0
23-Apr,10250,11768,8382,0,0,18882,5682,0
23-May,6650,17229,4010,0,4528,18823,6329,0
23-Jun,6506,18067,5615,0,4487,21502,5089,0
23-Jul,6639,16423,5019,0,4390,16969,4604,0
23-Aug,8639,10275,7002,0,6559,8571,4421,0
23-Sep,9356,20262,8168,0,3893,9359,4941,0
23-Oct,11544,18209,3650,0,4913,7563,8676,0
