month,기아 쏘렌토,현대 싼타페,현대 그랜저,기아 레이,현대 아반떼,기아 스포티지,현대 쏘나타,기아 카니발,현대 캐스퍼,제네시스 GV70,기아 셀토스,현대 투싼,현대 팰리세이드,기아 모닝,기아 K8,제네시스 G80,현대 코나,KG 모빌리티 토레스,현대 아이오닉 6,기아 니로,현대 아이오닉 5,기아 K5,르노코리아 QM6,기아 K7,르노코리아 XM3,제네시스 GV80,현대 베뉴,쉐보레 스파크,기아 K3,KG 모빌리티 티볼리,KG 모빌리티 렉스턴 스포츠,현대 포터,기아 봉고,현대 스타렉스,르노코리아 SM6,쉐보레 말리부
16-Jan,8472,9480,8116,,11398,7828,,6295,,,,,,7356,,,,,,,,5834,,,,,,6009,,,,,,,,
16-Feb,5853,6051,4123,,8300,,6050,4219,,,,4056,,5610,,,,,,,,,,5316,,,,5770,,,,,,,,
16-Mar,7687,6828,,,8249,4861,6820,5837,,,,,,7203,,,,,,,,,,6619,,,,8762,,,,,,,5401,
16-Apr,7738,6409,,,7502,,7461,5125,,,,5686,,5629,,,,,,,,,,,,,,7641,,5215,,,,,5151,
16-May,7884,6615,,,7830,,8179,5037,,,,5614,,5214,,,,,,,,,,,,,,7957,,5515,,,,,7038,
16-Jun,7668,9105,6124,,10257,,8746,,,,,6369,,6128,,,,,,,,,,,,,,6203,,,,,,,7238,6348
16-Jul,,5390,,,8263,,7413,6180,,,,,,5652,,,,,,,,,,5308,,,,6063,,,,,,,5659,5049
16-Aug,4651,5301,,,6727,,6018,4680,,,,,,5611,,,,,,,,,,,,,,5656,,4135,,,,3830,4748,
16-Sep,5633,7191,,,6026,,5902,4001,,,,4260,,5514,,,,,,,,,,,,,,5720,,4249,,,,,3981,
16-Oct,5986,4633,,,6983,,5757,4521,,,,,,5316,,,,,,,,,,3937,,,,6088,,5110,,,,,4167,
16-Nov,6551,,5303,,6783,,5526,7385,,,,,,7280,,5289,,,,,,,,,,,,6548,,4987,,,,,5294,
16-Dec,5615,5769,13199,,6877,,5796,4247,,,,,,8475,,,,,,,,,,4841,,,,5565,,,,,,,5921,
17-Jan,8040,7364,17182,,8699,,6640,7391,,,,,,7672,,,,,,,,,,,,,,6486,,5870,,,,,5958,
17-Feb,4992,5906,10850,,7219,,4627,4936,,,,,,6222,,,,,,,,,,4187,,,,,,4794,,,,3770,,
17-Mar,6217,5480,13355,,6741,,6988,6435,,,,,,6438,,,,,,,,,,5266,,,,,,5323,,,,4779,,
17-Apr,5229,,12583,,8458,,9343,5692,,,,,,5466,,,,,,,,,,4444,,,,,,5069,,,,4173,4098,
17-May,5404,4316,12233,,7397,,7470,6097,,,,4035,,6119,,,,,,,,,,,,,,,,4440,,,,,3840,
17-Jun,5883,4506,12978,,6910,,9408,6458,,,,4512,,5394,,,,,,,,,,4288,,,,,,4993,,,,,,
17-Jul,5802,3848,12275,,7124,,6928,6282,,,,4146,,6553,,,,,,,,,,,,,,4122,,4733,,,,,,
17-Aug,8043,4263,8224,,7127,,6148,5605,,,,3889,,6460,,,4145,,,,,,,,,,,4067,,,,,,,,
17-Sep,10402,,11532,,7255,,6778,6471,,,,4903,,5665,,,5293,,,,,,,,,,,,,5418,,,,4048,,
17-Oct,5462,3645,7756,,6092,,6309,3669,,,,,,4734,,,3312,,,,,,,3100,,,,,,3486,,,,,,
17-Nov,8005,4030,10417,,6840,3971,7883,5099,,,,4410,,6153,,,,,,,,,,,,,,,,4135,,,,,,
17-Dec,5349,3213,6992,,5128,3678,5222,4322,,,,,,5041,,,,,,,,,,,,,,3244,,4044,,,,,,
18-Jan,7834,,11444,,7735,,6823,5981,,,,,,5379,,4693,,,,,,,,,,,,4817,,,,7251,5314,,,
18-Feb,5885,,9414,,6185,,5242,3442,,,,,,4484,,,,,,,,3529,,,,,,,,,,7582,4273,3438,,
18-Mar,7314,12870,10724,,5811,,5687,4541,,,,,,5421,,3622,4032,,,,,5040,,,,,,,,,,,,,,
18-Apr,5158,12243,9506,,5926,,5717,8784,,,,,,5143,,,3610,,,,,4268,,,,,,,7863,,,,,,,
18-May,5141,10205,10576,,6193,,5664,8095,,,,,,5052,,,,,,,,,,,,,,,4867,3748,3850,,,,,
18-Jun,6486,9251,8500,,5913,,5063,7397,,,,,,4764,,,4106,,,,,,,,,,,3861,4125,,,,,,,
18-Jul,5919,10409,9452,,7867,,5968,7361,,,,,,5309,,,4859,,,,,,,,,,,,4201,,4543,,,,,
18-Aug,4894,9068,8418,,8077,,5941,6770,,,,,,4665,,,4119,,,,,3821,,,,,,,,4012,,,,,,
18-Sep,4327,8883,7842,,5608,,4535,6224,,,,4035,,4064,,,3899,,,,,3415,,,,,,,,,,,,,,
18-Oct,4962,9402,8914,,6923,,5758,6240,,,,4582,,5111,,,5149,,,,,4029,,,,,,,,,,,,,,
18-Nov,5692,9220,9846,,6352,,5717,6705,,,,4447,,5048,,,5482,,,,,4448,,,,,,,,,,,,,,
18-Dec,4603,7035,8455,,4333,,4623,5078,,,,,,4957,,,4093,,,,,4624,,,,,,4485,,,,,,,,
19-Jan,4572,9001,12419,,6602,,5443,6544,,,,4940,6263,,,,,,,,,,,,,,,,4743,,5490,,,,,
19-Feb,4067,6776,7468,,4867,,5412,4170,,,,,5762,3539,,,,,,,,,,,,,,,,3083,3221,,,,,
19-Mar,5630,8002,10304,,5605,,6167,5565,,,,,6228,4350,,,4059,,,,,,,,,,,,,,4125,,,,,
19-Apr,4594,6946,10231,,5609,,7699,6156,,,,,7182,4262,,,4843,,,,,,,,,,,,,3897,,,,,,
19-May,4456,6661,8494,,4795,,13399,5934,,,,,3928,4209,,,4305,,,,,,,,,,,,,3953,,,,,,
19-Jun,4001,7894,6736,3347,5411,,10029,5551,,,,,,3523,,,3523,,,,,,,,,,,,3632,,,,,,,
19-Jul,3698,6427,6427,,5707,,8702,5887,,,,,,4541,,,,,,,,,4473,8084,,,,,3830,,,,,,,
19-Aug,,6481,4892,,4467,,7549,4833,,,5469,,,3963,,,,,,,,,4121,7170,,,,3621,,,,,,,,
19-Sep,,7584,4996,,5127,,7260,4272,,,7016,,,4592,,,,,,,,,4253,6769,,,3907,,,,,,,,,
19-Oct,4270,6693,9227,,5937,,10060,4624,,,5312,,,,,,4314,,,,,,4826,6671,,,,,,,,,,,,
19-Nov,5398,7010,10643,,4592,,9739,5324,,,6368,,,4688,,,,,,,,,5276,5970,,,,,,,,,,,,
19-Dec,4793,6164,11684,,3984,,8044,4893,,,4481,,4338,,,,,,,,,,6247,4892,,,,,,,,,,,,
20-Jan,,4636,10755,,,,7379,4243,,,4048,,5862,3814,,,,,,,,9533,4879,4593,,,,,,,,,,,,
20-Feb,,3103,8305,,,,5145,2712,,,3252,,3477,3291,,,,,,,,5334,3389,3174,,,,,,,,,,,,
20-Mar,,5501,15443,,,,7083,,,,5512,,5635,,,,4775,,,,,7417,4581,4737,4822,,,,,,,,,,,
20-Apr,8516,,14283,,5963,,5247,,,,5242,,5988,,,,,,,,,7759,,4625,6332,4249,,,,,,,,,,
20-May,8967,5650,13735,,10209,,5910,,,,5683,,,,,7910,,,,,,7767,,4246,4653,,,,,,,,,,,
20-Jun,11618,,15848,,11925,,7911,,,,5558,,6667,,,7675,,,,,,10071,6240,,5561,,,,,,,,,,,
