month,쏘렌토,싼타페,그랜저,레이,아반떼,스포티지,쏘나타,카니발,캐스퍼,GV70,셀토스,투싼,팰리세이드,모닝,K8,G80,코나,토레스,아이오닉 6,니로,아이오닉 5,K5,QM6,K7,XM3,GV80,베뉴,스파크,K3,티볼리,렉스턴 스포츠,포터,봉고,스타렉스,SM6,말리부
16-Jan,10,9,8,100,16,20,11,48,3,0,0,20,0,50,0,1,9,5,0,4,0,26,0,52,0,1,10,54,22,24,0,30,7,16,17,13
16-Feb,11,13,8,76,16,18,10,55,1,0,0,23,0,47,2,2,12,9,0,6,0,23,1,46,0,0,6,61,22,28,0,29,6,16,52,15
16-Mar,10,10,8,71,14,18,10,40,2,0,0,26,0,52,0,4,12,4,0,24,0,25,1,33,0,0,7,54,20,42,1,25,6,13,39,15
16-Apr,11,10,8,65,15,15,12,41,1,0,0,27,0,51,1,3,8,7,0,34,0,23,2,28,0,0,6,52,18,29,1,26,6,15,34,37
16-May,12,10,8,71,17,16,12,43,1,0,0,23,0,52,3,6,10,8,0,30,1,21,4,24,0,0,6,46,20,26,0,24,7,14,26,59
16-Jun,10,10,8,72,16,14,11,39,2,0,0,19,0,50,3,33,8,5,0,23,0,22,11,23,0,0,6,43,22,28,0,24,6,13,17,37
16-Jul,10,10,8,70,16,16,11,43,3,0,0,20,0,48,2,27,10,4,0,21,0,26,8,20,1,0,6,45,18,24,0,24,6,13,17,28
16-Aug,11,13,9,73,15,15,12,44,2,0,0,21,0,47,2,23,8,4,0,15,0,24,25,22,0,0,6,40,17,28,0,27,6,14,18,28
16-Sep,13,12,10,72,16,16,11,46,2,0,0,22,0,48,5,18,10,5,1,14,0,24,34,24,0,0,6,43,17,30,0,28,8,13,18,26
16-Oct,10,10,15,73,15,16,11,42,2,0,0,20,1,46,4,19,9,6,0,14,0,18,22,23,0,0,7,38,15,28,0,30,7,14,17,24
16-Nov,9,9,24,65,14,14,12,34,1,0,0,19,0,43,2,23,8,8,0,12,0,19,18,25,0,0,7,41,13,24,0,34,6,12,15,23
16-Dec,9,9,16,71,14,12,12,36,2,0,0,21,1,51,5,19,9,7,0,25,0,19,16,23,0,0,3,40,14,27,0,37,6,14,13,20
17-Jan,10,9,15,74,15,14,10,41,2,0,0,20,0,66,13,18,10,6,0,24,0,22,14,29,1,0,6,45,16,24,0,28,12,15,14,23
