month,벤츠 E클래스,테슬라 모델 Y,BMW 3시리즈,BMW 5시리즈,렉서스 ES,BMW X7,BMW 6시리즈,아우디 A6,볼보 XC60,벤츠 GLC,벤츠 GLE,BMW X5,BMW iX3,벤츠 S클래스,벤츠 C클래스,폭스바겐 티구안,테슬라 모델 X,포르쉐 카이엔,BMW X3,BMW X4,지프 체로키,벤츠 GLA,벤츠 A클래스,볼보 S90,아우디 Q4 e-트론,폭스바겐 ID.4,테슬라 모델 3,포드 익스플로러,벤츠 GLB,폴스타 폴스타 2,벤츠 CLA,BMW X6,미니 미니 해치,아우디 A4,지프 그랜드 체로키,볼보 XC40,폭스바겐 제타,폭스바겐 티록,벤츠 CLS,지프 랭글러,벤츠 G클래스,닛산 알티마,포르쉐 파나메라,폭스바겐 아테온,혼다 어코드,아우디 Q7,혼다 파일럿,아우디 A5,토요타 캠리,랜드로버 디스커버리 스포츠,폭스바겐 파사트,아우디 A3,토요타 프리우스,랜드로버 디스커버리,BMW 1시리즈,재규어 XF,BMW 4시리즈,BMW 7시리즈,폭스바겐 골프
16-Jan,1500,,535,903,422,,,812,,619,,,,909,,631,,,,,,,,,,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479
16-Feb,1638,,634,1065,320,,,414,,443,,,,358,,873,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,506
16-Mar,2560,,910,1688,538,,,1329,,,,,,,536,930,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,456,,,,,,,,1743
16-Apr,535,,664,1656,436,,,1310,,,,,,,395,,,,,,,,,,,,,459,,,455,,,,,,,,,,,,,,,,,,,,373,,,,,,,,
16-May,,,801,2019,,,,1331,,,,,,449,982,769,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,537,,,,,,,,,,439,,,,834
16-Jun,,,1444,1369,833,,,1611,,,,,,1276,1046,640,,,,,,,,,,,,520,,,,,,,,,,,490,,,,,,,,,,573,,,,,,,,,,
16-Jul,1215,,602,1093,398,,,733,,,,,,599,958,,,,,,,,,,,,,494,,,,,340,,,,,,343,,,,,,,,,,,,,,,,,,,,
16-Aug,2253,,689,1111,,,,,,,,,,507,1104,,,,,,,,,,,,,426,,,,,415,,,,,,,,,316,,,,,,,382,315,,,,,,,,,
16-Sep,2782,,599,1134,793,,,,,359,,,,383,852,,,,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,,,314,,,,,,,,365,
16-Oct,3887,,904,3166,634,,,,,,,,,427,830,,,,,,,,,,,,,,,,,,456,,,,,,,,,454,,,607,,,,398,,,,,,,,,,
16-Nov,3046,,1120,2539,696,,,,,,358,,,453,936,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,372,,,,,,,,,383,
16-Dec,3063,,1153,1708,898,,,,,,,,,386,953,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,449,,,,,,740,,,692,
17-Jan,3777,,614,410,461,,,,,,468,,,612,1070,,,,,,,,,,,,,555,,,,,,,,,,,,,,,,,535,,,,367,,,,,,,,,,
17-Feb,3073,,442,859,655,,,,,,362,,,600,787,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,384,,,,,,,,,,,,339,,
17-Mar,3256,,1101,2353,796,,,,,,,,,489,1197,,,,,,,,,,,,,515,,,,,,,,,,,,,,511,,,,,,,,458,,,,,,454,,,
